offsetRange,pitchSet,oct_list_set,"[C,C#,D,E-,E,F,F#,G,G#,A,B-,B]"
336.0 to 336.0,"[0, 3, 7]","['C4', 'C5', 'E-5', 'G4']","[2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
337.0 to 337.5,"[0, 2, 3, 10]","['B-5', 'C6', 'D5', 'E-5']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
338.0 to 338.5,"[0, 7, 9, 10]","['A5', 'B-4', 'C5', 'G5']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
339.0 to 339.875,"[2, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'F#5', 'G5']","[0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0]"
340.0 to 340.7916667,"[0, 2, 6, 9]","['A4', 'C4', 'C5', 'D4', 'D5', 'F#5']","[2, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
341.0 to 341.0,"[7, 10]","['B-3', 'B-4', 'G5']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0]"
342.0 to 342.875,"[0, 2, 3, 9, 10]","['A4', 'B-4', 'C4', 'C5', 'D5', 'E-5']","[2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
343.0 to 343.0,"[2, 7, 10]","['B-4', 'D4', 'D5', 'G4']","[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
344.0 to 344.875,"[2, 4, 6, 7, 9, 10]","['A4', 'B-4', 'D3', 'D4', 'E4', 'F#4', 'G4']","[0, 0, 2, 0, 1, 0, 1, 1, 0, 1, 1, 0]"
345.0 to 345.875,[7],"['G3', 'G4']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
346.0 to 346.75,"[2, 7]","['D3', 'D4', 'G4']","[0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
347.0 to 347.0,[7],"['G2', 'G3']","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
